r,vol_estimate,sa_estimate,vol_real,sa_real
100,4168227.187389644,125255.661752482,4188790.2047863905,125663.70614359173
150,14108180.680342961,282362.67727158236,14137166.941154068,282743.3388230814
200,33468612.38013488,502246.6493667931,33510321.638291124,502654.8245743669
250,65397957.98848699,784995.3082835787,65449846.94978735,785398.1633974483
300,113035626.9183995,1130578.9978172956,113097335.52923255,1130973.3552923256
350,179523641.88874233,1538998.585588017,179594380.0302165,1539380.4002589986
400,267999180.5106435,2010227.959980458,268082573.106329,2010619.2982974676
450,381611705.37475127,2544315.908441194,381703507.4111598,2544690.049407732
500,523493874.4833522,3141216.3924355092,523598775.5982988,3141592.653589793
